Animalia, Kingdom
Reptilia, Class
Pisces, Class
Mammalia, Class
Aves, Class
Chelonia, Order
Primates, Order
Rodentia, Order
Artiodactyla, Order
Proboscidea, Order
Carnivora, Order
Crocodilia, Order
Lagomorpha, Order
Canidae, Family
Hippopotamidae, Family
Rhinocerotidae, Family
Equidae, Family
Herpestidae, Family
Hyaenidae, Family
Giraffidae, Family
Elephantidae, Family
Suidae, Family
Bovidae, Family
Cercopithecidae, Family
Mustelidae, Family
Alcelaphinae, Subfamily
Reduncini, Tribe
Bovini, Tribe
Antilopini, Tribe
Tragelaphini, Tribe
Hippotragini, Tribe
Alcelaphini, Tribe
Arvicanthis, Genus
Pelorovis, Genus
Papio, Genus
Gazella, Genus
Elephas, Genus
Connochaetes, Genus
Phacochoerus, Genus
Oryx, Genus
Redunca, Genus
Ceratotherium, Genus
Hyaena, Genus
Theropithecus, Genus
Kobus, Genus
Thryonomys, Genus
Tachyoryctes, Genus
Aepyceros, Genus
Euthecodon, Genus
Equus, Genus
Enhydriodon, Genus
Crocuta, Genus
Mellivora, Genus
Metridiochoerus, Genus
Homo, Genus
Taurotragus, Genus
Millardia, Genus
Giraffa, Genus
Hipparion, Genus
Praomys, Genus
Deinotherium, Genus
Hystrix, Genus
Ugandax, Genus
Steatomys, Genus
Nyanzachoerus, Genus
Damaliscus, Genus
Antidorcas, Genus
Sivatherium, Genus
Notochoerus, Genus
Kolpochoerus, Genus
Colobus, Genus
Tragelaphus, Genus
Diceros, Genus
Felis, Genus
jumae, Species
aethiops, Species
afarensis, Species
coppensi, Species
gurai, Species
leo, Species
stillei, Species
majus, Species
patas, Species
afarensis, Species
No taxon, Root
Gastropoda, Class
Plantae, Kingdom